maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,count
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,15
1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,50.0,15
1.0,1.0,1.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,128.0,15
1.0,1.0,1.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1024.0,15
1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,6.0,1.0,15
1.0,2.0,2.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,15
1.0,2.0,2.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1024.0,15
1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,15
1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,6.0,6.0,3.0,30
1.0,3.0,3.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,128.0,15
1.0,3.0,3.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,128.0,15
1.0,3.0,3.0,256.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,7.0,256.0,15
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,15
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,15
1.0,4.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,20.0,15
1.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,25.0,15
1.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,3.0,15
1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,3.0,15
1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,12.0,12.0,3.0,15
1.0,5.0,5.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,128.0,15
1.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,3.0,15
1.0,6.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,15
1.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,3.0,30
1.0,6.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,15
1.0,7.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,31.0,30.0,1.0,15
1.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,14.0,14.0,3.0,15
1.0,7.0,7.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,14.0,14.0,3.0,15
1.0,9.0,9.0,512.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,11.0,512.0,15
1.0,10.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,11.0,3.0,15
1.0,10.0,10.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,21.0,21.0,128.0,15
1.0,11.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,12.0,3.0,15
1.0,11.0,11.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,11.0,16.0,15
1.0,12.0,12.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,25.0,25.0,3.0,15
1.0,12.0,12.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,3.0,15
1.0,12.0,12.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,24.0,20.0,15
1.0,12.0,12.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,24.0,25.0,15
1.0,13.0,13.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,3.0,15
1.0,13.0,13.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,27.0,27.0,3.0,15
1.0,13.0,13.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,28.0,3.0,15
1.0,13.0,13.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,3.0,15
1.0,13.0,13.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,26.0,26.0,16.0,15
1.0,13.0,13.0,256.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,27.0,27.0,256.0,15
1.0,14.0,14.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,28.0,3.0,45
1.0,14.0,14.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,27.0,27.0,3.0,15
1.0,14.0,14.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,3.0,15
1.0,14.0,14.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,128.0,15
1.0,14.0,14.0,256.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,27.0,27.0,256.0,15
1.0,25.0,25.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0,26.0,3.0,15
1.0,25.0,25.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,51.0,51.0,32.0,15
1.0,26.0,26.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,53.0,53.0,3.0,15
1.0,26.0,26.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,52.0,52.0,3.0,15
1.0,26.0,26.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,54.0,54.0,16.0,15
1.0,27.0,27.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,15
1.0,27.0,27.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,15
1.0,27.0,27.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,3.0,15
1.0,27.0,27.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,16.0,15
1.0,27.0,27.0,64.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,53.0,53.0,64.0,15
1.0,27.0,27.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,128.0,15
1.0,28.0,28.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,28.0,28.0,3.0,60
1.0,28.0,28.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,56.0,56.0,3.0,45
1.0,28.0,28.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,28.0,3.0,30
1.0,28.0,28.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,55.0,55.0,3.0,15
1.0,31.0,30.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,123.0,124.0,1.0,15
1.0,52.0,52.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,53.0,53.0,3.0,15
1.0,53.0,53.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,54.0,54.0,3.0,15
1.0,53.0,53.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,106.0,106.0,3.0,15
1.0,54.0,54.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,56.0,3.0,15
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,56.0,3.0,15
1.0,55.0,55.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,110.0,110.0,3.0,15
1.0,55.0,55.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,55.0,55.0,3.0,15
1.0,55.0,55.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,110.0,110.0,3.0,15
1.0,55.0,55.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,110.0,110.0,16.0,15
1.0,55.0,55.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,16.0,15
1.0,55.0,55.0,16.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,110.0,110.0,16.0,15
1.0,55.0,55.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,55.0,55.0,32.0,15
1.0,56.0,56.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,112.0,112.0,3.0,45
1.0,56.0,56.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,111.0,111.0,3.0,15
1.0,56.0,56.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,112.0,112.0,3.0,15
1.0,56.0,56.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,56.0,3.0,30
1.0,56.0,56.0,64.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,113.0,113.0,64.0,15
1.0,56.0,56.0,64.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,112.0,112.0,64.0,30
1.0,106.0,106.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,108.0,108.0,3.0,15
1.0,106.0,106.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.0,106.0,3.0,15
1.0,108.0,108.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,110.0,110.0,3.0,15
1.0,110.0,110.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,220.0,220.0,3.0,15
1.0,110.0,110.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,112.0,112.0,3.0,15
1.0,110.0,110.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,222.0,222.0,3.0,15
1.0,110.0,110.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,220.0,220.0,16.0,15
1.0,111.0,111.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,3.0,15
1.0,111.0,111.0,16.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,222.0,222.0,16.0,15
1.0,112.0,112.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,224.0,224.0,3.0,45
1.0,112.0,112.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,112.0,112.0,3.0,15
1.0,112.0,112.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,223.0,223.0,3.0,15
1.0,112.0,112.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,224.0,224.0,3.0,15
1.0,123.0,124.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,124.0,127.0,1.0,15
1.0,124.0,127.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,128.0,128.0,1.0,15
1.0,220.0,220.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,222.0,222.0,3.0,15
1.0,222.0,222.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,224.0,224.0,3.0,30
1.0,222.0,222.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,224.0,224.0,16.0,15
1.0,223.0,223.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,224.0,224.0,3.0,15
1.0,223.0,223.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,223.0,223.0,3.0,15
1.0,224.0,224.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,224.0,224.0,3.0,30
