maxpool_N,maxpool_H,maxpool_W,maxpool_C,maxpool_ksizeH,maxpool_ksizeW,maxpool_zPadHLeft,maxpool_zPadHRight,maxpool_zPadWLeft,maxpool_zPadWRight,maxpool_strideH,maxpool_strideW,maxpool_N1,maxpool_imgH,maxpool_imgW,maxpool_C1,time_cost_list,max_time_cost_difference
1.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,"[2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0]",1.0
1.0,1.0,1.0,50.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,3.0,50.0,"[10.0, 16.0, 13.0, 11.0, 15.0, 10.0, 10.0, 10.0, 11.0, 13.0, 12.0, 12.0, 9.0, 10.0, 12.0]",7.0
1.0,1.0,1.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,128.0,"[29.0, 30.0, 24.0, 28.0, 22.0, 27.0, 29.0, 30.0, 28.0, 28.0, 21.0, 28.0, 29.0, 20.0, 30.0]",10.0
1.0,1.0,1.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,1024.0,"[173.0, 165.0, 184.0, 168.0, 157.0, 163.0, 196.0, 174.0, 171.0, 123.0, 160.0, 157.0, 142.0, 179.0, 175.0]",73.0
1.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,7.0,6.0,1.0,"[2.0, 2.0, 1.0, 1.0, 4.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0]",3.0
1.0,2.0,2.0,32.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,32.0,"[13.0, 13.0, 9.0, 10.0, 14.0, 16.0, 12.0, 13.0, 13.0, 11.0, 13.0, 10.0, 12.0, 12.0, 14.0]",7.0
1.0,2.0,2.0,1024.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,5.0,1024.0,"[747.0, 818.0, 727.0, 792.0, 759.0, 737.0, 726.0, 688.0, 686.0, 768.0, 719.0, 749.0, 752.0, 794.0, 829.0]",143.0
1.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,3.0,"[6.0, 4.0, 3.0, 3.0, 5.0, 4.0, 5.0, 4.0, 3.0, 4.0, 5.0, 3.0, 8.0, 3.0, 4.0]",5.0
1.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,6.0,6.0,3.0,"[5.0, 4.0, 4.0, 3.0, 5.0, 6.0, 4.0, 4.0, 5.0, 4.0, 6.0, 6.0, 4.0, 4.0, 8.0, 4.0, 4.0, 5.0, 5.0, 4.0, 4.0, 5.0, 3.0, 5.0, 6.0, 8.0, 5.0, 4.0, 4.0, 4.0]",5.0
1.0,3.0,3.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,5.0,5.0,128.0,"[213.0, 315.0, 166.0, 199.0, 210.0, 158.0, 189.0, 204.0, 213.0, 215.0, 211.0, 196.0, 195.0, 166.0, 209.0]",157.0
1.0,3.0,3.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,5.0,128.0,"[62.0, 82.0, 92.0, 70.0, 83.0, 69.0, 106.0, 91.0, 67.0, 77.0, 88.0, 69.0, 75.0, 60.0, 69.0]",46.0
1.0,3.0,3.0,256.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,7.0,7.0,256.0,"[78.0, 84.0, 88.0, 87.0, 92.0, 98.0, 80.0, 90.0, 93.0, 87.0, 104.0, 84.0, 104.0, 92.0, 107.0]",29.0
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,"[5.0, 5.0, 6.0, 5.0, 5.0, 6.0, 4.0, 5.0, 5.0, 6.0, 5.0, 7.0, 6.0, 7.0, 12.0]",8.0
1.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,7.0,3.0,"[6.0, 4.0, 7.0, 5.0, 6.0, 5.0, 5.0, 6.0, 5.0, 6.0, 5.0, 9.0, 7.0, 8.0, 6.0]",5.0
1.0,4.0,4.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,20.0,"[15.0, 15.0, 19.0, 13.0, 13.0, 16.0, 15.0, 16.0, 13.0, 16.0, 13.0, 17.0, 17.0, 22.0, 17.0]",9.0
1.0,4.0,4.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,8.0,8.0,25.0,"[22.0, 20.0, 22.0, 18.0, 25.0, 17.0, 19.0, 18.0, 23.0, 22.0, 20.0, 24.0, 28.0, 19.0, 20.0]",11.0
1.0,5.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,6.0,3.0,"[3.0, 3.0, 3.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0, 2.0, 3.0, 2.0, 2.0]",1.0
1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,7.0,3.0,"[6.0, 5.0, 6.0, 6.0, 6.0, 6.0, 8.0, 7.0, 6.0, 5.0, 6.0, 9.0, 8.0, 7.0, 7.0]",4.0
1.0,5.0,5.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,12.0,12.0,3.0,"[6.0, 5.0, 6.0, 6.0, 8.0, 7.0, 5.0, 7.0, 7.0, 7.0, 12.0, 7.0, 8.0, 7.0, 5.0]",7.0
1.0,5.0,5.0,128.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,11.0,11.0,128.0,"[205.0, 171.0, 201.0, 197.0, 249.0, 204.0, 184.0, 196.0, 199.0, 215.0, 188.0, 207.0, 205.0, 218.0, 200.0]",78.0
1.0,6.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,3.0,"[4.0, 3.0, 2.0, 4.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 3.0, 7.0, 3.0, 2.0, 6.0]",5.0
1.0,6.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,"[3.0, 5.0, 5.0, 4.0, 3.0, 3.0, 3.0, 3.0, 6.0, 3.0, 3.0, 3.0, 4.0, 3.0, 3.0]",3.0
1.0,6.0,6.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,13.0,13.0,3.0,"[8.0, 8.0, 16.0, 12.0, 7.0, 8.0, 6.0, 9.0, 8.0, 10.0, 11.0, 9.0, 9.0, 8.0, 7.0, 8.0, 9.0, 7.0, 10.0, 7.0, 7.0, 9.0, 7.0, 6.0, 11.0, 10.0, 8.0, 11.0, 7.0, 9.0]",10.0
1.0,6.0,6.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,"[6.0, 7.0, 10.0, 10.0, 6.0, 7.0, 7.0, 7.0, 7.0, 7.0, 9.0, 7.0, 6.0, 8.0, 11.0]",5.0
1.0,7.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,31.0,30.0,1.0,"[1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 2.0, 0.0, 1.0, 1.0]",2.0
1.0,7.0,7.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,14.0,14.0,3.0,"[4.0, 4.0, 4.0, 5.0, 4.0, 3.0, 4.0, 3.0, 3.0, 4.0, 3.0, 6.0, 3.0, 5.0, 3.0]",3.0
1.0,7.0,7.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,14.0,14.0,3.0,"[9.0, 10.0, 9.0, 12.0, 8.0, 18.0, 9.0, 10.0, 9.0, 10.0, 9.0, 9.0, 8.0, 9.0, 10.0]",10.0
1.0,9.0,9.0,512.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,11.0,512.0,"[1240.0, 1297.0, 1137.0, 1171.0, 1115.0, 1111.0, 1260.0, 1102.0, 1117.0, 1186.0, 1137.0, 1194.0, 1201.0, 1095.0, 1135.0]",202.0
1.0,10.0,10.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,11.0,11.0,3.0,"[5.0, 6.0, 6.0, 6.0, 6.0, 6.0, 5.0, 6.0, 6.0, 5.0, 4.0, 6.0, 5.0, 4.0, 6.0]",2.0
1.0,10.0,10.0,128.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,21.0,21.0,128.0,"[248.0, 235.0, 220.0, 259.0, 261.0, 222.0, 188.0, 247.0, 232.0, 222.0, 185.0, 253.0, 263.0, 221.0, 240.0]",78.0
1.0,11.0,11.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,12.0,12.0,3.0,"[7.0, 7.0, 6.0, 6.0, 7.0, 7.0, 4.0, 7.0, 6.0, 7.0, 6.0, 7.0, 7.0, 7.0, 6.0]",3.0
1.0,11.0,11.0,16.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,11.0,11.0,16.0,"[35.0, 37.0, 57.0, 34.0, 30.0, 36.0, 37.0, 37.0, 49.0, 40.0, 32.0, 41.0, 40.0, 37.0, 35.0]",27.0
1.0,12.0,12.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,25.0,25.0,3.0,"[5.0, 7.0, 6.0, 7.0, 5.0, 7.0, 8.0, 5.0, 7.0, 7.0, 9.0, 7.0, 8.0, 7.0, 8.0]",4.0
1.0,12.0,12.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,3.0,"[17.0, 24.0, 24.0, 16.0, 21.0, 20.0, 17.0, 19.0, 17.0, 26.0, 17.0, 18.0, 22.0, 17.0, 17.0]",10.0
1.0,12.0,12.0,20.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,24.0,20.0,"[101.0, 70.0, 66.0, 65.0, 50.0, 49.0, 55.0, 50.0, 61.0, 57.0, 49.0, 44.0, 56.0, 68.0, 55.0]",57.0
1.0,12.0,12.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,24.0,24.0,25.0,"[65.0, 76.0, 66.0, 68.0, 81.0, 63.0, 75.0, 85.0, 55.0, 102.0, 64.0, 67.0, 60.0, 75.0, 68.0]",47.0
1.0,13.0,13.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,14.0,14.0,3.0,"[9.0, 11.0, 11.0, 13.0, 10.0, 9.0, 9.0, 10.0, 11.0, 7.0, 11.0, 9.0, 11.0, 7.0, 8.0]",6.0
1.0,13.0,13.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,27.0,27.0,3.0,"[12.0, 18.0, 8.0, 9.0, 14.0, 8.0, 12.0, 8.0, 8.0, 8.0, 11.0, 18.0, 7.0, 9.0, 17.0]",11.0
1.0,13.0,13.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,28.0,3.0,"[25.0, 23.0, 27.0, 22.0, 22.0, 24.0, 26.0, 25.0, 17.0, 21.0, 22.0, 20.0, 24.0, 20.0, 22.0]",10.0
1.0,13.0,13.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,3.0,"[23.0, 24.0, 22.0, 23.0, 19.0, 23.0, 23.0, 23.0, 19.0, 21.0, 20.0, 24.0, 22.0, 20.0, 22.0]",5.0
1.0,13.0,13.0,16.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,26.0,26.0,16.0,"[47.0, 51.0, 55.0, 48.0, 62.0, 57.0, 50.0, 51.0, 65.0, 50.0, 55.0, 47.0, 51.0, 60.0, 61.0]",18.0
1.0,13.0,13.0,256.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,27.0,27.0,256.0,"[3641.0, 3585.0, 3819.0, 3577.0, 3787.0, 3569.0, 3631.0, 3701.0, 3614.0, 3654.0, 3703.0, 3589.0, 3724.0, 3533.0, 3710.0]",286.0
1.0,14.0,14.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,28.0,28.0,3.0,"[11.0, 10.0, 12.0, 15.0, 7.0, 9.0, 9.0, 10.0, 15.0, 12.0, 12.0, 8.0, 9.0, 6.0, 9.0, 11.0, 10.0, 10.0, 13.0, 12.0, 9.0, 8.0, 10.0, 9.0, 9.0, 9.0, 12.0, 9.0, 11.0, 9.0, 8.0, 11.0, 10.0, 7.0, 8.0, 11.0, 9.0, 8.0, 7.0, 11.0, 10.0, 10.0, 9.0, 7.0, 11.0]",9.0
1.0,14.0,14.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,27.0,27.0,3.0,"[7.0, 14.0, 9.0, 11.0, 7.0, 10.0, 8.0, 10.0, 9.0, 9.0, 8.0, 9.0, 9.0, 10.0, 9.0]",7.0
1.0,14.0,14.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,14.0,3.0,"[27.0, 26.0, 25.0, 22.0, 24.0, 24.0, 26.0, 20.0, 19.0, 22.0, 20.0, 22.0, 20.0, 23.0, 26.0]",8.0
1.0,14.0,14.0,128.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,14.0,14.0,128.0,"[461.0, 497.0, 471.0, 493.0, 488.0, 425.0, 444.0, 473.0, 476.0, 494.0, 454.0, 469.0, 457.0, 466.0, 446.0]",72.0
1.0,14.0,14.0,256.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,27.0,27.0,256.0,"[3800.0, 3758.0, 3836.0, 3714.0, 3619.0, 3793.0, 3782.0, 3740.0, 3805.0, 3811.0, 3786.0, 3605.0, 3928.0, 3566.0, 3811.0]",362.0
1.0,25.0,25.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0,26.0,3.0,"[23.0, 25.0, 24.0, 21.0, 28.0, 24.0, 23.0, 21.0, 24.0, 23.0, 42.0, 24.0, 20.0, 23.0, 22.0]",22.0
1.0,25.0,25.0,32.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,51.0,51.0,32.0,"[409.0, 377.0, 397.0, 410.0, 378.0, 392.0, 396.0, 429.0, 373.0, 417.0, 428.0, 402.0, 425.0, 383.0, 389.0]",56.0
1.0,26.0,26.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,53.0,53.0,3.0,"[60.0, 66.0, 49.0, 82.0, 69.0, 72.0, 60.0, 62.0, 69.0, 67.0, 90.0, 54.0, 63.0, 71.0, 60.0]",41.0
1.0,26.0,26.0,3.0,3.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,52.0,52.0,3.0,"[59.0, 60.0, 69.0, 88.0, 89.0, 75.0, 61.0, 61.0, 58.0, 60.0, 77.0, 59.0, 85.0, 80.0, 95.0]",37.0
1.0,26.0,26.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,54.0,54.0,16.0,"[2714.0, 2405.0, 2506.0, 2791.0, 2834.0, 2762.0, 2778.0, 2784.0, 2709.0, 2612.0, 2762.0, 2725.0, 2516.0, 2771.0, 2750.0]",429.0
1.0,27.0,27.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,"[31.0, 37.0, 29.0, 30.0, 30.0, 25.0, 34.0, 27.0, 26.0, 28.0, 29.0, 28.0, 28.0, 34.0, 29.0]",12.0
1.0,27.0,27.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,55.0,55.0,3.0,"[69.0, 66.0, 68.0, 62.0, 75.0, 85.0, 71.0, 64.0, 63.0, 76.0, 71.0, 111.0, 54.0, 68.0, 96.0]",57.0
1.0,27.0,27.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,27.0,3.0,"[70.0, 87.0, 60.0, 65.0, 77.0, 67.0, 78.0, 60.0, 51.0, 64.0, 76.0, 62.0, 67.0, 74.0, 63.0]",36.0
1.0,27.0,27.0,16.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,56.0,56.0,16.0,"[2831.0, 2675.0, 2791.0, 2799.0, 2843.0, 2877.0, 2750.0, 2793.0, 2591.0, 2810.0, 2817.0, 2790.0, 2440.0, 2872.0, 2839.0]",437.0
